0,title,view,follows,likes,collects,senti_result,punc_result,num_of_numbers,is_question,total_char,num_phrase
56,【炸香肠】25年炸香肠经验告诉你，这么做比外面的好吃一百倍！揭秘火腿肠外衣上的小机关！,2951000,233000,88000,149000,2,4,1,0,43,['25年炸']
57,试吃“牛的舌头”，整整30厘米比脸还长，没想到却意外的好吃,2925000,5009000,64000,4718,3,0,1,0,29,['30厘米']
58,华农兄弟：去河里捞了几条鱼，放点配料烤一烤，很香哦,2916000,4848000,117000,6898,1,0,0,0,25,
59,一斤肥牛一斤面，大sao做铁锅肥牛焖面，这次大蒜可劲吃，真过瘾,2911000,2789000,66000,8429,1,0,0,0,31,
60,华农兄弟：去河里捡了点田螺，用山泉水养了几天，炒出来味道还不错,2909000,4848000,124000,6712,0,0,0,0,31,
61,贵阳彭于晏踏上“寻辣之旅”究竟哪种“辣”最好吃？,2839000,5008000,54000,3915,1,1,0,1,24,
62,试吃大理特产“土鸡米线”，配上云南特色小吃，吃一次就上瘾,2837000,5009000,112000,7967,1,0,0,0,28,
63,原来快餐店炸鸡是由5个部分组成的，除了鸡腿还有哪个更好吃呢,2835000,5009000,71000,5302,1,0,1,0,29,['5个']
64,【木下大胃王】12人份疯狂辣版恶魔的泡菜拉面 意外的…【5900kcal】【190530】,2829000,347000,24000,6719,3,6,2,0,45,"['12人份', '190530】']"
65,试吃不同种类规格的海胆，最贵的不一定是最好吃的！,2818000,3084000,123000,11000,2,1,0,0,24,
66,从重辣5号到特辣10号，到底谁才是辣中之王，小伙辣到嘴都麻了,2813000,5009000,137000,13000,0,0,2,0,30,"['5号', '10号']"
67,华农兄弟：砍点芒杆叶来做小吃，蒸出软软的，还可以哟,2807000,4848000,124000,7269,1,0,0,0,25,
68,小伙用吉娜朵生蚝做蚵仔煎，终于知道为什么会成为小吃街必备美食,2790000,5009000,82000,6016,2,0,0,1,30,
69,四斤香酥炸鸡腿，大sao做一大盆，拳头大的鸡腿要一口一个，过瘾,2787000,2789000,76000,8278,2,0,0,0,31,
70,200一斤的法式鹅肝和20一斤的正常鹅肝到底有什么区别呢,2751000,5009000,51000,4064,1,0,2,0,28,"['200一斤', '20一斤']"
71,试吃南非珍珠鲍，香煎简直太爱你了！,2751000,3084000,126000,12000,1,1,0,0,17,
72,【佛跳墙】难怪佛祖会跳墙！！这碗汤简直是我的厨艺巅峰！！！UP主喝下秒变哇哇怪！,2748000,3452000,156000,38000,1,8,0,0,40,
73,开箱黑科技“低温慢煮机”，这次真的要套着塑料袋做牛排了,2745000,5009000,70000,4704,0,0,0,0,27,
74,一次做3斤脆皮五花肉，配上大蒜一起吃，皮脆肉嫩真过瘾,2728000,40000,26000,20000,1,0,1,0,26,['3斤']
75,3斤卤肉，1根腿骨，配上网友送的20斤大蒜，大sao一顿吃过瘾,2676000,2789000,53000,4285,1,0,3,0,31,"['3斤', '1根', '20斤']"
76,七只莫桑比克龙虾五种吃法，竟然吃出了栗子味儿！,2618000,3084000,138000,14000,1,1,0,0,23,
77,自制2000元一个的鱼子酱黑松露三明治！挑战世界最贵！,2601000,3084000,108000,12000,1,2,1,0,27,['2000元']
78,中国男子在日本吃炸串自助，30多种炸串甜点水果随便吃，隔壁桌的小姐姐都看呆了？,2542000,2709000,126000,23000,2,1,1,1,39,['30多种']
79,华农兄弟：这只公的竹鼠不带崽，没办法，只好把它烤了,2518000,4848000,93000,6507,1,0,0,0,25,
80,试吃纽约评分最差的餐厅，竟然把微波炉食品卖高价？,2513000,3845000,97000,7652,2,1,0,1,24,
81,大sao去重庆吃火锅，蒜泥随便吃，毛肚肉卷配血旺，服务员看呆了,2511000,2789000,55000,3937,1,0,0,0,31,
82,爆辣！！肥牛流汁宽粉，辣到辣无能....,2464000,450000,14000,6775,1,2,0,0,20,
83,3块钱吃饱！北京最实惠碳水小店，热量爆炸！吃时一时爽，吃完健身房！,2462000,1215000,73000,12000,1,3,1,0,33,['3块钱']
84,海底捞居然还有外卖服务！锅和餐具都一起打包送上门！,2451000,1154000,59000,5177,1,2,0,0,25,
85,爆炒三个大腰子，大sao给媳妇补一补，配上媳妇做的炸酱面，过瘾,2425000,2789000,128000,18000,1,0,0,0,31,
86,加料100元的手抓饼长什么样的？老板：放不进饼里！,2400000,1985000,102000,9893,0,2,1,1,25,['100元手']
