0,title,view,follows,likes,collects,senti_result,punc_result,num_of_numbers,is_question,total_char,num_phrase
165,黄晓明的魅力你抵挡得住吗？,1808000,2118000.0,119000.0,29000.0,1,1,0,1,13,
166,我想知道乔碧萝殿下是不是用的这个软件,1807000,5224.0,23000.0,17000.0,1,0,0,0,18,
167,论一个成熟且沙雕的男人,1804000,3767.0,54000.0,33000.0,1,0,0,0,11,
168,被十年前QQ空间黑历史支配 逐渐崩溃的UP主,1804000,2118000.0,132000.0,59000.0,2,0,0,0,22,
169,哈哈哈哈哈哈哈存个档我喜欢这个小女孩哈哈哈哈哈,1801000,2469.0,82000.0,70000.0,4,0,0,0,23,
170,普通话烫嘴系列,1798000,1381.0,35000.0,35000.0,0,0,0,0,7,
171,当榜一大佬刷了10W，乔碧萝露脸之后,1796000,2427.0,41000.0,18000.0,0,0,0,0,18,
172,【乔碧萝】上了“今日说法”为何会被局座定为“恐怖行动”,1784000,29000.0,129000.0,42000.0,1,2,0,0,27,
173,吸满血的蚊子，活喂螳螂！超解气爽到爆！,1761000,243000.0,110000.0,14000.0,1,2,0,0,19,
174,穿女仆装在大街上全速奔跑！！！,1757000,2141000.0,51000.0,13000.0,0,3,0,0,15,
175,在俄罗斯不止熊没有尊严,1752000,1401.0,43000.0,14000.0,2,0,0,0,11,
176,无限接近死亡，才能体会生命的真谛系列（六_三）,1737000,2592.0,8517.0,3773.0,2,0,0,0,23,
177,乔碧萝殿下颜值巅峰时期比和她PK的晴子还好看，新晋斗鱼一姐，开播贵族过*10000，榜一注销了自己的斗鱼账号。,1721000,1816.0,6490.0,1199.0,1,1,1,0,55,['10000榜']
178,【喷饭③ 占领搞笑区】今日新闻联播，请笑……哈哈哈哈嗝,1718000,5836000.0,117000.0,24000.0,1,2,1,0,27,['③占领']
179,男朋友有压力时，你是如何帮他释放的？姑娘不愧是过来人,1714000,8037.0,5127.0,2147.0,1,1,0,1,26,
180,这才是年轻人该留的发型 帅,1713000,4004.0,19000.0,15000.0,0,0,0,0,13,
181,穿女仆装在大街上全速奔跑！！！,1757000,2141000.0,51000.0,13000.0,0,3,0,0,15,
